Reference,School Name,% attendance,% absence,% authorised absence,% unauthorised absence
3010809,"Ballycarry Primary School, Carrickfergus",95.9,4.1,2.7,1.4
3010816,Randalstown Central Primary School,94.6,5.4,4.4,1
3010817,"Greenisland Primary School, Carrickfergus",96.4,3.6,2.9,0.7
3010818,"Moorfields Primary School, Ballymena",95.4,4.6,2.5,2
3010822,"Groggan Primary School, Randalstown",94.5,5.5,3,2.5
3010825,"Carnaghts Primary School, Shankbridge",94.4,5.6,3.4,2.2
3010826,"The Diamond Primary School, Cullybackey",96.3,3.7,2.5,1.1
3010827,"Whitehouse Primary School, Newtownabbey",91.5,8.5,3.5,5
3010828,"Kilbride Central Primary School, Ballyclare",92.3,7.7,4,3.7
3010829,Antrim Primary School,93.1,6.9,5.4,1.5
3010834,Clough Primary School,96.1,3.9,1.8,2.1
3010835,"Kells and Connor Primary School, Ballymena",93.2,6.8,3.7,3.1
3010842,"William Pinkerton Memorial Primary School, Ballymoney",93.6,6.4,4.7,1.7
3010846,"Whiteabbey Primary School, Newtownabbey",96.4,3.6,2.9,0.8
3010847,Portrush Primary School,92,8,3.6,4.4
3010860,"Sunnylands Primary School, Carrickfergus",90.7,9.3,7.4,1.9
3010862,"Abbots Cross Primary School, Newtownabbey",89.7,10.3,4.7,5.6
3010870,"Moyle Primary School, Larne",92.9,7.1,5.7,1.4
3010873,Bushmills Primary School,92.1,7.9,2.3,5.5
3010874,"Whitehead Primary School, Carrickfergus",94.5,5.5,3.2,2.3
3010875,Ballymena Primary School,89.8,10.2,3.9,6.3
3010878,"Kilmoyle Primary School, Ballymoney",94,6,3,3
3010879,"Straidhavern Primary School, Crumlin",95.2,4.8,3.1,1.7
3010880,"King's Park Primary School, Newtownabbey",93.6,6.4,3.5,2.9
3010883,"Linn Primary School, Larne",93.5,6.6,3.3,3.2
3010891,"Fourtowns Primary School, Ahoghill",95.1,4.9,3.1,1.8
3010892,"Ballytober Primary School, Bushmills",93.8,6.2,1.8,4.4
3010893,"Knockahollet Primary School, Ballymena",94.6,5.4,2.9,2.6
3010895,Rathcoole Primary School,86.7,13.3,5.1,8.2
3012049,"Carnalridge Primary School, Portrush",91.2,8.8,4,4.8
3012065,"Culcrow Primary School, Aghadowey",95.3,4.7,3.4,1.2
3012225,"Damhead Primary School, Coleraine",95.1,4.9,3.3,1.7
3012229,"Hezlett Primary School, Coleraine",93.4,6.7,2.8,3.8
3012233,"Tobermore Primary School, Tobermore",91.4,8.7,2.9,5.7
3012234,"Ampertaine Primary School, Maghera",93.8,6.2,4.1,2.2
3012237,"Killowen Primary School, Coleraine",92.1,7.9,3.8,4.2
3012250,Portstewart Primary School,93.4,6.6,3.3,3.3
3012264,"Millburn Primary School, Coleraine",89,11,10.5,0.5
3012267,Magherafelt Primary School,93.4,6.6,4.2,2.4
3012269,"Kilrea Primary School, Coleraine",96.6,3.4,2.3,1.1
3012284,"D H Christie Memorial Primary School, Coleraine",93.3,6.7,4.7,2
3012288,"Castleroe Primary School, Coleraine",94.1,5.9,3.1,2.8
3012290,Bellaghy Primary School,95.3,4.7,3.6,1.1
3012291,Maghera Primary School,92.5,7.6,5.7,1.9
3013301,"Carnmoney Primary School, Newtownabbey",93.9,6.1,4.2,1.9
3013310,"Broughshane Primary School, Ballymena",94.6,5.4,3.7,1.7
3013315,"Ballykeel Primary School, Ballymena",93.5,6.6,3.2,3.4
3013322,"Camphill Primary School, Ballymena",94.7,5.3,2.8,2.5
3013323,Mossgrove Primary School,93.2,6.8,3.2,3.7
3013325,"Leaney Primary School, Ballymoney",93.8,6.2,4,2.1
3013330,"Victoria Primary School, Carrickfergus",93.8,6.2,3.3,2.9
3013331,Ballycraigy Primary School,92,8.1,3.6,4.5
3013332,"Toreagh Primary School, Larne",95.1,4.9,3.9,1
3013700,"Macosquin Primary School, Coleraine",95.5,4.5,2.7,1.8
3013704,Castledawson Primary School,94.5,5.5,3.9,1.5
3016005,"Silverstream Primary School, Greenisland",90.4,9.6,5.9,3.7
3016014,"Templepatrick Primary School, Ballyclare",95.3,4.7,2.7,2
3016015,"Mossley Primary School, Newtownabbey",94.7,5.3,2.9,2.4
3016037,"Greystone Primary School, Antrim",93.3,6.7,3.6,3.2
3016038,"Hollybank Primary School, Monkstown",88.7,11.4,3.5,7.9
3016040,"Armoy Primary School, Ballymoney",94.2,5.9,3.5,2.4
3016052,"Harpurs Hill Primary School, Coleraine",92.4,7.7,3.6,4.1
3016055,"Gorran Primary School, Coleraine",95.8,4.2,3,1.2
3016058,"Parkhall Primary School, Antrim",90.3,9.7,3.7,6
3016063,"Dunclug Primary School, Ballymena",88.6,11.4,5.4,6
3016119,Garvagh Primary School,93.6,6.4,2.3,4.1
3016125,Rasharkin Primary School,95.3,4.7,3.5,1.3
3016129,"Carniny Primary School, Ballymena",94.9,5.1,3.3,1.8
3016170,"Ballyhenry Primary School, Newtownabbey",93.8,6.2,4.5,1.8
3016225,"Woodlawn Primary School, Carrickfergus",91.7,8.3,3.5,4.8
3016244,"Ashgrove Primary School, Newtownabbey",93,7.1,3.4,3.6
3016249,"Earlview Primary School, Newtownabbey",90.9,9.2,5.1,4.1
3016252,"Ballysally Primary School, Coleraine",92.7,7.3,4.6,2.7
3016257,"Oakfield Primary School, Carrickfergus",93.2,6.8,3.2,3.6
3016260,Cloughmills Primary School,94.3,5.7,5.4,0.3
3016264,"The Irish Society's Primary School, Coleraine",95.5,4.5,3.2,1.3
3016269,"Cairncastle Primary School, Ballygally",94.4,5.6,4.2,1.4
3016283,"Knockloughrim Primary School, Magherafelt",94.7,5.3,3.9,1.4
3016414,"Fairview Primary School, Ballyclare",94.9,5.1,3.4,1.7
3016440,Portglenone Primary School,96.4,3.6,3.6,0
3016444,"Hazelbank Primary School, Ballymena",95.7,4.3,3.1,1.2
3016447,"Balnamore Primary School, Ballymoney",92.7,7.3,6,1.3
3016594,"Bushvalley Primary School, Ballymoney",94.9,5.1,3.4,1.6
3016705,Islandmagee Primary School,95,5,3.8,1.2
3030434,"Creggan Primary School, Randalstown",95.1,4.9,3.9,1
3030438,"Millquarter Primary School, Toomebridge",95.9,4.1,4.1,0.1
3030547,"St Patrick's Primary School, Portrush",88.6,11.4,4.4,7
3030588,"St Mary's Primary School, Rathlin",93.1,6.9,6.4,0.5
3030621,"St Mary's Primary School, Portglenone",94.3,5.7,3.5,2.2
3030688,"Mount St Michael's Primary School, Randalstown",94.2,5.8,4.7,1.2
3030708,"Glenann Primary School, Cushendall",95.3,4.8,3.8,1
3030719,"St Olcan's Primary School, Ballymoney",95.7,4.4,3.2,1.1
3030815,Moneynick Primary School,96.6,3.4,3,0.5
3030832,"St Comgall's Primary School, Antrim",93.4,6.6,5.9,0.7
3030894,"St Mary's Primary School, Cushendall",94.8,5.3,4.1,1.2
3030898,"St Anne's Primary School, Loughgiel",93,7.1,4.3,2.7
3030900,"St Anthony's Primary School, Larne",91.1,8.9,3.7,5.2
3032018,"St Brigid's Primary School, Tirkane",94.9,5.1,3,2.1
3032109,"New Row Primary School, Castledawson",94.9,5.1,3.8,1.3
3032185,"St Trea's Primary School, Magherafelt",96.4,3.6,2.9,0.7
3032197,"Knocknagin Primary School, Dessertmartin",95.6,4.4,4.4,0
3032202,"St Columba's Primary School, Garvagh",94.3,5.7,4,1.7
3032205,"St Columb's Primary School, Desertmartin",94.3,5.7,5.2,0.5
3032218,"Crossroads Primary School, Kilrea",96,4,2.9,1.1
3032231,"St Colum's Primary School, Portstewart",95,5,4,1
3032246,"St John Bosco Primary School, Ballynease",96.2,3.8,3.6,0.2
3032257,"Anahorish Primary School, Toomebridge",94.1,5.9,3.9,2
3032268,"St Columba's Primary School, Straw",95.8,4.2,3.2,1
3032271,"St Eoghan's Primary School, Magherafelt",95.1,4.9,4.8,0
3032273,"St Mary's Primary School, Draperstown",93.5,6.5,3.3,3.2
3032274,"St John's Primary School, Swatragh",96.3,3.7,2.9,0.9
3032275,"St Mary's Primary School, Greenlough",95.3,4.7,4.3,0.4
3032281,"St Mary's Primary School, Bellaghy",96,4,2.8,1.3
3032285,St Patrick's & St Joseph's Primary School,96,4,2.3,1.7
3032297,"St Malachy's Primary School, Coleraine",93.3,6.7,3.5,3.1
3033303,"St Oliver Plunkett's Primary School, Toomebridge",96.3,3.7,2.2,1.6
3033313,"St Bernard's Primary School, Newtownabbey",95,5,3.2,1.8
3033317,"St John's Primary School, Carnlough",93.5,6.5,3.7,2.8
3033320,"St Patrick's Primary School, Rasharkin",92.2,7.8,3.9,3.9
3033326,"St Brigid's Primary School, Ballymoney",94.2,5.8,5.3,0.6
3033709,"St John's Primary School, Coleraine",92.2,7.9,5.6,2.2
3036026,"St Joseph's Primary School, Crumlin",93,7.1,2.8,4.2
3036039,"St Mary's Primary School, Glenview",93.7,6.3,5.8,0.5
3036046,St Mary's-on-the-Hill Primary School,94.1,5.9,3.4,2.5
3036050,"St Joseph's Primary School, Antrim",91.2,8.8,4.1,4.7
3036100,"St James Primary School, Newtownabbey",91.1,8.9,5.3,3.6
3036103,"St Brigid's Primary School, Knockloughrim",94.7,5.3,4.9,0.4
3036131,"St Patrick's Primary School, Glenariff",96.3,3.7,3.1,0.7
3036139,"St MacNissi's Primary School, Newtownabbey",95.8,4.2,3.5,0.7
3036147,"St Columba's Primary School, Kilrea",95.5,4.5,3.7,0.8
3036154,"St Patrick's Primary School, Loughgiel",95.2,4.8,3.1,1.7
3036243,"St Joseph's Primary School, Dunloy",95.1,4.9,4.2,0.7
3036268,"St Ciaran's Primary School, Cushendun",94.9,5.2,4.3,0.9
3036292,"St Patrick's Primary School, Maghera",96.1,3.9,2.2,1.8
3036559,"St Patrick's & St Brigid's Primary School, Ballycastle",93,7,4.6,2.5
3036562,"Holy Family Primary School, Magherafelt",94.4,5.6,4.7,0.9
3036563,"St Nicholas' Primary School, Carrickfergus",94.2,5.8,4.4,1.4
3036575,"St MacNissi's Primary School, Larne",95,5,3.7,1.2
3036666,"St Colmcilles Primary School, Ballymena",93.2,6.8,5.6,1.2
3036679,"St Brigid's Primary School, Ballymena",92.4,7.7,6.2,1.5
3036683,"St Paul's Primary School, Ahoghill",97.2,2.8,2.8,0
3036704,"Mary Queen of Peace Primary School, Cargan",94.6,5.4,4.7,0.7
3046653,"Gaelscoil An Chaistil, Ballycastle",94.3,5.7,5.4,0.3
3046678,"Gaelscoil Na Speirini, Draperstown",96.4,3.6,3.6,0
3046684,"Gaelscoil Ghleann Darach, Crumlin",93.4,6.6,4.6,2
3046685,"Gaelscoil Eanna, Glengormley",91.2,8.8,5,3.8
3046691,"Gaelscoil an tSeanchai, Magherafelt",94.2,5.8,3.3,2.6
3050519,"Carnlough Integrated Primary School, Ballymena",90.5,9.5,6.6,2.8
3050791,"Glengormley Integrated Primary School, Newtownabbey",94,6,3.1,2.9
3050841,"Central Integrated Primary School, Carrickfergus",92.5,7.5,4.4,3.1
3050859,Crumlin Integrated Primary School,92.7,7.3,3.3,4
3050866,Ballymoney Model Controlled Integrated Primary School,93.7,6.3,3.3,3
3050899,"Seaview Integrated Primary School, Glenarm",93,7,5.1,1.9
3052071,"Carhill Integrated Primary School, Garvagh",94.8,5.2,5.1,0.1
3053333,Ballycastle Integrated Primary School,93.4,6.6,4.6,2
3056231,Six Mile Integrated Primary School,92.9,7.1,3.9,3.2
3056248,Round Tower Integrated Primary School,92,8,3.1,4.9
3056708,Mallusk Controlled Integrated Primary School,94.1,5.9,3.9,1.9
3066544,"Mill Strand Integrated Primary School, Portrush",94.5,5.6,2.7,2.8
3066551,"Braidside Integratead Primary School, Ballymena",91.7,8.3,5.5,2.8
3066561,"Corran Integrated Primary School, Larne",93.3,6.7,4.7,2
3066568,"Acorn Integrated Primary School, Carrickfergus",92.4,7.6,5.4,2.2
3066613,"Spires Integrated Primary School, Magherafelt",94.6,5.4,3.5,1.9
3066652,"Maine Integrated Primary School, Randalstown",94.3,5.7,4.3,1.5
4010512,"McKinney Primary School, Dundrod",93.3,6.7,5.8,0.9
4010720,"Ballycarrickmaddy Primary School, Lisburn",95.5,4.5,3.7,0.8
4010743,"Largymore Primary School, Lisburn",92.9,7.1,2.9,4.2
4010762,"Brownlee Primary School, Lisburn",94.7,5.3,4.1,1.2
4010788,Dunmurry Primary School,94.7,5.3,3.9,1.5
4010807,Lisburn Central Primary School,90.6,9.4,4.1,5.3
4010882,"Seymour Hill Primary School, Belfast",90.5,9.6,6.4,3.2
4010885,"Tonagh Primary School, Lisburn",91.1,8.9,4,4.9
4011265,"Ballyvester Primary School, Donaghadee",96,4,3,1
4011300,"Greyabbey Primary School, Newtownards",93.4,6.6,5,1.6
4011310,"Carrickmannon Primary School, Ballygowan",95.1,4.9,3.2,1.7
4011345,Newtownards Model Primary School,93.5,6.5,4.2,2.3
4011373,"Kirkistown Primary School, Newtownards",91.6,8.4,4.8,3.6
4011462,"Castle Gardens Primary School, Newtownards",91.4,8.7,5.4,3.3
4011488,"Victoria Primary School, Ballyhalbert",89.2,10.8,6.2,4.6
4011507,"Portavogie Primary School, Newtownards",94.5,5.5,2.9,2.6
4011566,"Ballywalter Primary School, Ballywater",93.2,6.8,4.8,1.9
4011567,Ballynahinch Primary School,94.3,5.7,2.9,2.8
4011578,"Derryboy Primary School, Crossgar",96.3,3.7,3.7,0.1
4011584,"Carr Primary School, Lisburn",95.3,4.7,3.2,1.5
4011587,Dundonald Primary School,93.8,6.2,4.1,2.1
4011588,Comber Primary School,92.2,7.9,6.1,1.7
4011606,"Gilnahirk Primary School, Belfast",94.8,5.2,3.3,1.9
4011608,Anahilt Primary School,96.3,3.7,2.4,1.3
4011619,Dromara Primary School,94.9,5.1,3.7,1.4
4011631,Holywood Primary School,95.4,4.6,2.5,2.1
4011632,"Cregagh Primary School, Belfast",92.5,7.5,3.8,3.7
4011645,"Crawfordsburn Primary School, Bangor",94.4,5.6,3.3,2.3
4011646,"Victoria Primary School, Newtownards",91.4,8.6,4.1,4.5
4011650,"Ballyholme Primary School, Bangor",95.2,4.8,2.8,2.1
4011654,Donaghadee Primary School,92.9,7.1,3.8,3.3
4011657,"Lisnasharragh Primary School, Belfast",94.9,5.1,2.9,2.2
4011670,"Clandeboye Primary School, Bangor",91.1,9,3.4,5.6
4011674,"Knockbreda Primary School, Belfast",88.1,11.9,7.3,4.6
4011681,Millisle Primary School,93,7,6,1.1
4011683,"Braniel Primary School, Belfast",93.2,6.8,4.1,2.7
4011698,Newcastle Primary School,91.9,8.2,3.4,4.8
4011699,Moneyrea Primary School,95.7,4.4,3.6,0.7
4013013,"Belvoir Park Primary School, Belfast",89.7,10.3,5.8,4.5
4013023,"Bloomfield Primary School, Bangor",89.9,10.1,5.1,5
4013024,"Cairnshill Primary School, Belfast",95.3,4.7,3,1.7
4013043,"Leadhill Primary School, Belfast",93.8,6.2,4.2,2
4013044,"Carryduff Primary School, Belfast",93.2,6.8,3.7,3.2
4013045,"Grange Park Primary School, Bangor",95.7,4.4,2.9,1.5
4013046,"Alexander Dickson Primary School, Ballygowan",92.2,7.8,3.4,4.4
4013305,"Harmony Hill Primary School, Lisburn",94.8,5.2,3.4,1.8
4013334,"Knockmore Primary School, Lisburn",89,11,6.5,4.5
4016002,"Kilcooley Primary School, Bangor",87.4,12.6,9.7,2.9
4016004,"Londonderry Primary School, Newtownards",93.4,6.6,3.3,3.3
4016020,"Carrowdore Primary School, Newtownards",91.3,8.7,5.4,3.3
4016067,Rathmore Primary School,94.6,5.4,3.6,1.8
4016083,"West Winds Primary School, Newtownards",88,12,6.5,5.5
4016104,Moira Primary School,96.8,3.2,2.4,0.8
4016111,"Towerview Primary School, Bangor",94.6,5.4,4.1,1.4
4016123,"Spa Primary School, Ballynahinch",96.6,3.4,3.1,0.3
4016126,"Andrews Memorial Primary School, Newtownards",95.4,4.6,2.5,2.1
4016144,"Old Warren Primary School, Lisburn",91.6,8.4,3.6,4.8
4016145,"Killowen Primary School, Lisburn",92.7,7.3,2.5,4.8
4016192,"Kilmaine Primary School, Bangor",95.3,4.7,3.2,1.5
4016201,"Academy Primary School, Ballynahinch",95.5,4.5,3.2,1.3
4016202,Ballinderry Primary School,95.1,4.9,3.5,1.4
4016235,Downpatrick Primary School,90.1,9.9,3.5,6.4
4016396,"Killinchy Primary School, Newtownards",95.2,4.8,3.2,1.6
4016399,"Abbey Primary School, Newtownards",94.3,5.7,3.8,1.9
4016401,"Pond Park Primary School, Lisburn",94.7,5.4,4.3,1.1
4016417,Maghaberry Primary School,94.4,5.6,4,1.6
4016430,"Ballymagee Primary School, Bangor",94.7,5.3,3.1,2.2
4016441,"Ballymacash Primary School, Lisburn",93.7,6.4,3.3,3
4016503,"Brooklands Primary School, Belfast",88.7,11.3,4.4,6.9
4016615,Riverdale Primary School,95.7,4.3,3,1.3
4016636,Meadow Bridge Primary School,94.9,5.1,3.7,1.4
4016649,"Downshire Primary School, Hillsborough",95.4,4.6,3,1.7
4016650,"Cumran Primary School, Downpatrick",93.5,6.5,4.6,1.9
4016681,"Glasswater Primary School, Downpatrick",94.2,5.8,4.3,1.4
4030573,"Ballymacward Primary School, Lisburn",93.3,6.7,5.1,1.6
4030823,"Ballymacrickett Primary School, Glenavy",94.5,5.5,4.4,1.2
4030897,"St Joseph's Primary School, Lisburn",95.3,4.7,3.2,1.5
4031328,"Christ the King Primary School, Drumaness",93.5,6.5,4.3,2.2
4031350,"St Malachy's Primary School, Kilclief",93.7,6.4,5.9,0.4
4031485,"St Caolan's Primary School, Saintfield",95.5,4.5,4.4,0.1
4031526,"St Patrick's Primary School, Saul",94.9,5.1,3.5,1.5
4031531,"St Francis' Primary School, Drumaroad",94.8,5.2,3.5,1.6
4031550,"St Joseph's Primary School, Crossgar",92.8,7.2,4.5,2.7
4031628,"St Patrick's Primary School, Holywood",95.5,4.5,3.2,1.3
4031660,"St Joseph's Primary School, Carryduff",96.6,3.4,3,0.4
4031662,"St Mary's Primary School, Comber",93.1,6.9,5.2,1.7
4031663,"St Joseph's Primary School, Carnacaville",94.1,5.9,3.2,2.7
4031665,"St Patrick's Primary School, Ballynahinch",93.8,6.2,4.3,1.9
4031671,"St Patrick's Primary School, Castlewellan",94,6,5.9,0.1
4031673,"St Mary's Primary School, Ardglass(Dunsford",93.5,6.6,3.9,2.6
4031676,"St Bernards Primary School, Belfast",96.4,3.7,3,0.7
4033002,"St Mary's Primary School, Aughlisnafin",94.4,5.6,5.5,0.1
4033005,"St Joseph's Primary School, Strangford",93.8,6.2,5.8,0.3
4033007,"St Macartan's Primary School, Downpatrick",94.8,5.2,3.7,1.5
4033012,"Holy Family Primary School, Downpatrick",94.3,5.7,4.6,1.2
